P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.14118774,0.021553773,0.004322724,0.005665433,0.039538473,0.173023195
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.1418427,0.021856703,0.004341488,0.005750143,0.039737012,0.173013606
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.14243461,0.022137871,0.004358119,0.005828566,0.039916511,0.173003567
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.14296962,0.022398286,0.004372858,0.005901054,0.040078813,0.172993273
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.14345329,0.022639072,0.004385918,0.005967956,0.040225583,0.172982882
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.12467218,0.03357626,0.004452223,0.007707448,0.033748478,0.174768668
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.103791825,0.045818295,0.004435334,0.009625982,0.026839761,0.176223178
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.08440693,0.05693382,0.004351949,0.011498427,0.020562228,0.177166698
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.06273646,0.06817158,0.00430209,0.013248372,0.015168473,0.177694471
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.042516258,0.078087755,0.00422067,0.014846162,0.010656217,0.177936203
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.027146883,0.08496895,0.004124745,0.016285563,0.006928857,0.17799983
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.014373367,0.090818994,0.004093938,0.01757329,0.003862753,0.177961786
-10828.44086,26519.29184,-8222.298395,2.727272727,9.09090909,24.24242424,-0.004127909,0.09360778,0.004113342,0.018722329,0.001337731,0.177871527
