Pressure1,Pressure2,Pressure3,predicted_position1,predicted_position2,predicted_position3
-12,14,-20,0.008978837,-0.044119023,0.16934352
-10,14,-20,0.004887969,-0.04444373,0.1708026
-8,14,-20,0.001285983,-0.044744108,0.17184637
-6,14,-20,-0.002424348,-0.044886623,0.17261827
-4,14,-20,-0.005667673,-0.044603623,0.17324501
-2,14,-20,-0.008855546,-0.044328418,0.17381595
0,14,-20,-0.011993615,-0.044075407,0.17430133
2,14,-20,-0.015129012,-0.043927364,0.174762
4,14,-20,-0.018193347,-0.043791436,0.17535816
6,14,-20,-0.02118219,-0.043588564,0.17594762
8,14,-20,-0.024170741,-0.04338913,0.17652647
10,14,-20,-0.026482344,-0.043483492,0.1767375
12,14,-20,-0.028402595,-0.04362642,0.17685379
14,14,-20,-0.03028565,-0.043744385,0.17697613
16,14,-20,-0.032296784,-0.043899402,0.17692278
18,14,-20,-0.03443475,-0.044102583,0.17669643
20,14,-20,-0.036383726,-0.04445163,0.17650637
22,14,-20,-0.03819004,-0.044773366,0.1762927
24,14,-20,-0.039991416,-0.045093615,0.17607996
26,14,-20,-0.041731972,-0.045385923,0.1758605
